best,mean,corr_mean,exp_no,t
19807.444806584164,19829.382746543415,19782.789960002938,1,1
19741.100741903698,19875.69574217524,19792.0936092252,1,2
19609.523277570428,19761.394354936994,19704.842811485203,1,3
19369.156616870197,19661.86404492306,19541.810495077112,1,4
19061.970365285946,19529.79741098606,19611.735074198332,1,5
19061.970365285946,19372.479474512766,19294.33707982727,1,6
18836.40006953514,19023.222837102694,18934.474084712394,1,7
18761.560984442436,19042.960216249092,19145.582232601264,1,8
18371.312595575168,18627.707347063333,18832.060672964973,1,9
18271.77579599932,18489.633971424155,18498.01619327257,1,10
17840.675095894367,18297.498864246863,18610.298407730683,1,11
17615.67049436747,18305.4963284194,18507.643823375907,1,12
17143.432501399027,17791.749858263265,17698.956530506006,1,13
16873.65589283529,17136.995583266416,16923.75865592387,1,14
16080.329552595824,16863.804479144754,16684.463530451685,1,15
15792.97336809731,16731.619315191343,16822.415625868092,1,16
13010.86317751724,15820.853165935117,16025.87393889287,1,17
11783.81004693086,13539.16917074813,12109.999270795073,1,18
8791.31571965376,12045.366901860292,11657.066161582203,1,19
3358.1087224005237,7517.979435438989,6675.519388948228,1,20
2437.7051857547513,3172.948963183485,3432.213233747465,1,21
2437.7051857547513,4147.130205145534,694.8960021419482,1,22
2437.7051857547513,3454.3176455276557,3586.384665045658,1,23
857.5549264736431,3718.002221835432,9448.190014144939,1,24
837.8608776051407,2281.0129580878242,245.25340082987933,1,25
200.31636071147375,195.35897178283713,1942.5442664207583,1,26
82.76724087127933,1050.2524451136308,1239.6124705467284,1,27
82.76724087127933,19.142294701108224,48.78707928299178,1,28
82.76724087127933,480.4622709817937,13.518473163855761,1,29
82.76724087127933,49.18283282548602,60.09899557783996,1,30
82.76724087127933,128.07651384527603,146.84498211759745,1,31
82.76724087127933,1299.5418898819082,1570.88535667282,1,32
3.512486711506024,179.10030818597915,65.40593994815089,1,33
3.512486711506024,120.314452447878,476.46695876822247,1,34
3.512486711506024,100.99279657413811,130.7052906012459,1,35
3.512486711506024,4.3735691508605665,38.401080986457245,1,36
3.512486711506024,1.7058925918524688,36.03956571419579,1,37
3.512486711506024,16.435542883186216,18.5659070620381,1,38
2.0897453307496052,26.26255933814673,54.983966556419304,1,39
1.4825168711775432,2.73485482809829,6.782379424820379,1,40
0.11897737546696455,0.3236866182610591,6.732034732134086,1,41
0.11897737546696455,0.8911134895019959,16.142197523907267,1,42
0.11897737546696455,4.28637533511224,1.855256094503614,1,43
0.11897737546696455,0.598791487840592,2.181633842960067,1,44
0.11897737546696455,0.06928130247747974,0.5491936009475662,1,45
0.11897737546696455,0.06885175270880839,0.6275222716261637,1,46
0.11897737546696455,0.014257566704122437,0.10736234910252876,1,47
0.07929126819707598,0.42446496484048307,0.24861716541999437,1,48
0.014700347324946286,0.06067922206517931,0.2118707646189616,1,49
0.014700347324946286,0.06576628209206138,0.2814415709597853,1,50
0.014700347324946286,0.01086731860860417,0.024821980162570142,1,51
0.014700347324946286,0.21664686571517322,0.2596477298456307,1,52
0.012899561251030055,0.21944561780772665,0.08467380509174717,1,53
0.0074219291137005445,0.09355515611904949,0.14803282718858807,1,54
1.9379192256532886e-4,0.01710100685975809,0.011080400350449594,1,55
1.9379192256532886e-4,0.014340720688276373,0.0688624967695397,1,56
1.9379192256532886e-4,0.010958455443658479,0.036709607522895225,1,57
1.9379192256532886e-4,0.003030565136696796,0.013777141575802699,1,58
1.9379192256532886e-4,0.0012388525687841317,0.012810290089116352,1,59
1.9379192256532886e-4,0.0011907301268490745,8.688399384018309e-4,1,60
9.649146299065437e-5,8.247558678316695e-4,0.002008439919794957,1,61
2.8533610481335334e-5,2.198648354303834e-4,2.8943245932365003e-4,1,62
2.8533610481335334e-5,0.0010230746825479352,0.0019037221941624973,1,63
2.8533610481335334e-5,6.476459456751009e-4,4.403952183903375e-4,1,64
2.8533610481335334e-5,1.92184379310968e-4,6.341845926426585e-5,1,65
2.8533610481335334e-5,1.2024829044005199e-4,6.0961702374207625e-5,1,66
2.8533610481335334e-5,3.767298054676085e-5,2.504706347073912e-4,1,67
6.0653381858977415e-6,7.665235759681627e-6,1.927184009420148e-4,1,68
6.0653381858977415e-6,1.9707249234147724e-5,2.102892445325342e-5,1,69
6.0653381858977415e-6,3.173021844789705e-5,1.120947577979878e-5,1,70
6.0653381858977415e-6,1.146072398809535e-5,2.1137053135275308e-5,1,71
5.0798246785492e-6,1.7270318782229298e-5,4.6504755743498314e-5,1,72
7.155314345488622e-7,3.8764684117967505e-6,1.7870134251115314e-5,1,73
7.155314345488622e-7,7.015979877427458e-7,8.896861983303663e-6,1,74
7.518926230616726e-8,8.838168120476669e-7,7.5332455257877085e-6,1,75
7.518926230616726e-8,5.418575319082472e-7,1.8770259816252182e-6,1,76
7.518926230616726e-8,1.196627967226199e-6,3.852608266164191e-6,1,77
3.391269709781541e-8,1.322105211354197e-6,2.881911457433507e-6,1,78
3.391269709781541e-8,1.253232869894612e-7,1.0942476357668e-6,1,79
3.391269709781541e-8,5.0860559017597364e-8,1.9068895442152683e-7,1,80
3.3586139998084057e-8,6.544832721926357e-8,4.903126461080216e-8,1,81
1.6644119552758053e-8,8.084337527859418e-8,2.7206765925723957e-8,1,82
1.6644119552758053e-8,4.695831824478369e-8,4.960235269979577e-8,1,83
9.659651561476903e-9,1.9099490675400172e-8,5.959480272629515e-8,1,84
7.25086329936614e-9,3.2890149350865945e-8,2.6866525809892626e-8,1,85
1.7411590788962063e-9,3.718234451803956e-8,3.638615168685509e-8,1,86
9.422325694948477e-10,9.04875443784302e-9,3.4487425773309977e-9,1,87
9.422325694948477e-10,3.855339172641494e-9,1.0651563333766589e-9,1,88
3.0739978920986487e-10,5.651641369275017e-10,1.544218623796614e-9,1,89
3.0739978920986487e-10,1.7633323168413227e-9,6.859937155034437e-9,1,90
1.8808224508441953e-10,2.305935225253704e-10,9.48890429371615e-10,1,91
1.6703149835397085e-11,3.3158724402956995e-11,1.703738832410173e-11,1,92
1.6703149835397085e-11,2.909025728205463e-11,9.16180948597025e-11,1,93
4.220323536229501e-12,7.620744225932758e-11,3.070889532941691e-10,1,94
4.220323536229501e-12,1.950652086059659e-11,9.332012006577783e-11,1,95
4.220323536229501e-12,2.1203011539037288e-11,1.4692771875789797e-11,1,96
4.220323536229501e-12,6.46066968056449e-11,5.383731410234578e-11,1,97
3.2271152815409923e-12,2.1975502892374147e-11,1.2590675369251608e-11,1,98
4.0584071213916096e-13,4.608353140275498e-13,3.193547620783182e-12,1,99
4.0584071213916096e-13,4.948651324795995e-12,1.0792774396249472e-11,1,100
4.0584071213916096e-13,1.307213618478181e-12,4.779954653309556e-12,1,101
3.9881762961305925e-13,5.771982504347721e-13,2.892167533477552e-14,1,102
3.9881762961305925e-13,4.3994342091257466e-14,8.176506440927905e-13,1,103
3.9881762961305925e-13,4.0138666861462497e-13,6.100587565256829e-13,1,104
8.887787064364614e-15,4.1096862633710174e-13,8.783993509231138e-14,1,105
8.887787064364614e-15,3.093006268347614e-14,1.7213568447390182e-13,1,106
8.887787064364614e-15,8.046390252945773e-14,1.228128477647201e-13,1,107
8.887787064364614e-15,9.946212288642415e-14,5.397726091823343e-13,1,108
8.887787064364614e-15,8.332670286559484e-15,8.900675485501072e-14,1,109
5.676707554883021e-15,2.935445520612289e-14,1.1249793635505889e-13,1,110
